Ensembl Gene ID	% GC content	Gene Start (bp)	Gene End (bp)
ENSMUSG00000064372	44.78	15356	15422
ENSMUSG00000064371	34.33	15289	15355
ENSMUSG00000064370	39.07	14145	15288
ENSMUSG00000064369	34.78	14071	14139
ENSMUSG00000064368	34.10	13552	14070
ENSMUSG00000064367	37.12	11742	13565
ENSMUSG00000064366	30.99	11671	11741
ENSMUSG00000064365	32.20	11613	11671
ENSMUSG00000064364	31.34	11546	11612
ENSMUSG00000064363	35.63	10167	11544
ENSMUSG00000065947	41.08	9877	10173
ENSMUSG00000064361	22.06	9808	9875
ENSMUSG00000064360	33.05	9459	9806
ENSMUSG00000064359	30.88	9391	9458
ENSMUSG00000064358	38.90	8607	9390
ENSMUSG00000064357	35.98	7927	8607
ENSMUSG00000064356	31.86	7766	7969
ENSMUSG00000064355	33.85	7700	7764
ENSMUSG00000064354	38.60	7013	7696
ENSMUSG00000064353	17.14	6942	7011
ENSMUSG00000064352	37.68	6870	6938
ENSMUSG00000064351	39.87	5328	6872
ENSMUSG00000064350	34.33	5260	5326
ENSMUSG00000064349	36.36	5192	5257
ENSMUSG00000064348	33.80	5089	5159
ENSMUSG00000064347	33.33	5018	5086
ENSMUSG00000064346	40.30	4950	5016
ENSMUSG00000064345	35.74	3914	4951
ENSMUSG00000064344	44.93	3845	3913
ENSMUSG00000064343	36.62	3772	3842
ENSMUSG00000064342	27.54	3706	3774
ENSMUSG00000064341	37.62	2751	3707
ENSMUSG00000064340	44.00	2676	2750
ENSMUSG00000064339	35.40	1094	2675
ENSMUSG00000064338	39.13	1025	1093
ENSMUSG00000064337	35.81	70	1024
ENSMUSG00000064336	30.88	1	68
ENSMUSG00000101673	42.25	85104765	85105209
ENSMUSG00000087456	42.83	42474555	42505662
ENSMUSG00000101615	55.91	96537161	96537854
ENSMUSG00000105499	43.43	70553239	70553862
ENSMUSG00000064900	46.56	39422289	39422419
ENSMUSG00000076012	56.10	85336292	85336373
ENSMUSG00000094357	41.25	105399719	105399798
ENSMUSG00000009281	50.42	48569698	48572670
ENSMUSG00000093317	46.85	15404981	15405091
ENSMUSG00000098691	44.21	85743515	85743609
ENSMUSG00000094466	33.33	137919858	137919971
ENSMUSG00000076212	57.80	129691535	129691643
ENSMUSG00000065034	45.37	42775573	42775680
ENSMUSG00000035125	42.82	81923669	81959915
ENSMUSG00000089263	47.62	135740997	135741101
ENSMUSG00000078042	49.48	121325580	121325676
ENSMUSG00000092928	90.32	48048703	48048795
ENSMUSG00000084454	41.51	120381034	120381139
ENSMUSG00000030324	52.77	115931927	115938829
ENSMUSG00000080336	31.29	36699397	36699543
ENSMUSG00000032548	48.22	102988712	103096002
ENSMUSG00000088379	40.62	90857537	90857632
ENSMUSG00000051586	50.62	120931707	121003153
ENSMUSG00000098963	32.22	6820942	6821121
ENSMUSG00000084477	46.64	140530963	140531215
ENSMUSG00000030159	38.89	129397297	129409335
ENSMUSG00000097466	42.70	81631551	81645156
ENSMUSG00000053470	40.06	71588974	71632905
ENSMUSG00000041729	50.44	62419492	62537044
ENSMUSG00000080321	46.74	54094373	54096289
ENSMUSG00000088146	42.65	96150837	96150972
ENSMUSG00000083841	48.13	157429417	157430326
ENSMUSG00000083605	47.40	103778693	103779000
ENSMUSG00000082863	46.20	66025549	66025890
ENSMUSG00000106821	45.53	95417110	95419751
ENSMUSG00000065898	36.11	128700546	128700653
ENSMUSG00000105422	60.02	26070537	26071474
ENSMUSG00000082817	35.05	54130710	54144172
ENSMUSG00000088157	54.31	59080891	59081122
ENSMUSG00000080915	48.53	145833317	145834134
ENSMUSG00000107357	44.32	95425935	95428628
ENSMUSG00000104064	39.05	103771646	103773655
ENSMUSG00000089398	44.91	66448166	66448430
ENSMUSG00000106308	40.28	6358836	6359190
ENSMUSG00000081477	37.27	54174779	54202199
ENSMUSG00000070219	52.94	151777671	151777789
ENSMUSG00000030075	38.27	102163306	102464667
ENSMUSG00000097029	55.71	38317333	38320897
ENSMUSG00000088839	29.69	101005896	101005959
ENSMUSG00000083375	43.82	145990742	145991275
ENSMUSG00000083019	55.64	103762917	103763545
ENSMUSG00000089284	41.67	129156754	129156885
ENSMUSG00000096721	56.36	22789818	22789927
ENSMUSG00000104536	61.34	162748556	162748674
ENSMUSG00000077501	52.71	54974651	54974779
ENSMUSG00000094999	50.00	123483317	123483814
ENSMUSG00000092760	58.40	113528550	113528674
ENSMUSG00000065068	52.94	18323444	18323562
ENSMUSG00000073116	44.37	26082574	26089291
ENSMUSG00000096079	39.18	22768106	22768202
ENSMUSG00000080725	36.62	26912743	26935697
ENSMUSG00000089470	38.71	115373841	115373964
ENSMUSG00000039358	52.66	38319367	38322518
ENSMUSG00000089183	43.90	123195632	123195713
ENSMUSG00000088232	40.91	155139896	155140027
ENSMUSG00000083908	47.66	145994291	145995125
ENSMUSG00000088903	39.52	139196065	139196231
ENSMUSG00000076050	30.49	53047997	53048078
ENSMUSG00000070071	36.49	66839052	66839125
ENSMUSG00000065501	42.86	30741299	30741396
ENSMUSG00000080555	53.76	61145362	61145454
ENSMUSG00000065505	45.45	51269812	51269910
ENSMUSG00000095277	49.50	123514427	123514828
ENSMUSG00000072950	48.74	85140505	85143649
ENSMUSG00000098877	41.44	23519746	23519856
ENSMUSG00000048489	51.57	116650684	116652847
ENSMUSG00000094252	50.20	124629893	124630390
ENSMUSG00000051940	44.38	26098668	26105362
ENSMUSG00000077858	54.26	12870269	12870362
ENSMUSG00000077598	38.46	96560761	96560864
ENSMUSG00000094147	50.20	125435542	125436039
ENSMUSG00000071356	41.71	78370885	78373466
ENSMUSG00000094896	32.71	60257552	60257658
ENSMUSG00000045441	39.99	59352461	59426290
ENSMUSG00000098262	40.74	103480946	103481026
ENSMUSG00000082253	48.73	56155528	56156393
ENSMUSG00000065450	52.68	147158210	147158321
ENSMUSG00000048108	45.19	116692630	116716913
ENSMUSG00000070677	39.78	95456806	95485587
ENSMUSG00000075703	42.65	30232581	30272427
ENSMUSG00000099072	40.62	94274574	94274637
ENSMUSG00000053442	48.61	66894654	66896521
ENSMUSG00000067698	44.53	26114764	26121421
ENSMUSG00000046080	38.98	129408862	129424764
ENSMUSG00000035847	42.58	70343069	70365084
ENSMUSG00000038759	40.80	35177421	35247596
ENSMUSG00000031425	42.06	136822671	136839733
ENSMUSG00000025626	39.37	52912266	52956943
ENSMUSG00000015405	39.92	164139332	164188420
ENSMUSG00000106699	41.74	93421672	93423396
ENSMUSG00000024306	38.28	21810897	22171396
ENSMUSG00000047879	39.09	9995432	10045119
ENSMUSG00000087441	44.73	33984989	33992411
ENSMUSG00000097191	45.04	149119565	149184063
ENSMUSG00000029245	35.23	84054761	84417382
ENSMUSG00000065074	43.93	21901732	21901838
ENSMUSG00000076327	50.91	128094917	128095026
ENSMUSG00000094115	44.57	33234869	33235393
ENSMUSG00000089342	48.17	157053955	157054118
ENSMUSG00000098438	48.53	85599533	85599872
ENSMUSG00000093614	51.66	101570624	101570834
ENSMUSG00000057036	53.60	24333068	24333511
ENSMUSG00000083498	46.12	156632825	156633468
ENSMUSG00000107313	44.54	149183183	149184226
ENSMUSG00000102741	46.65	30974649	30975111
ENSMUSG00000088639	40.82	92191977	92192074
ENSMUSG00000093223	55.56	79594668	79594793
ENSMUSG00000091192	51.31	27189382	27234710
ENSMUSG00000103905	53.79	63905429	63905718
ENSMUSG00000085946	50.77	152074855	152076808
ENSMUSG00000092004	44.72	115227343	115259294
